Purpose_Num,Consumptive?,Purpose,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,PREVIOUS_monthly_coefficients,Description of Water License Purpose,Reference/Note,
02I47,Consumptive/Non-consumptive,"Heat Exchanger, Residential",M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]"," The diversion and use of water to extract or dissipate heat, by passing water through an open loop system, for one or more private dwellings, other than multi-family building, located on a single parcel.","Water use likely higher in winter months than summer months. In BC, water use for heating is more common than water use for cooling.",
WSA06,Non-consumptive,Ice & Snow Making,M3/Y,3,1.5,0.5,0,0,0,0,0,0,0,3,4,12,"[0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25]",The diversion and use of water for the commercial production of ice or for making snow or ice for a recreation facility or area.,"There are more snow-making licenses in this category and they are larger, so uses estimated coefficients for snowmaking. Caution should be taken if upstream licenses are used for icemaking, as diversions for icemaking occur in August, which typically coincides with low flows.",
02I36,Consumptive,Processing & Mfg: Wharves,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for the operation of a sawmill, shipyard, factory or other manufacturing facility or for the operation of a wharf, and includes the use of water in a gravel washing plant or the use in an industrial context of water to prevent a fire.","Coefficients for 'Processing' (Ecofish, 2015). Water use is relatively consistent throughout year where water is used for commericial activity, but water use typically increases in summer with visitation (5-15% approximately) (Mike Carter, Port Alberni Port Authority). Landscaping irrigation is likely typically very limited at wharves. ",
WSA01,Consumptive,Domestic (WSA01),M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","the use of water for household purposes by the occupants of, subject to the regulations, one or more private dwellings, other than multi-family apartment buildings, including, without limitation, hotels and strata titled or cooperative buildings, located on a single parcel, including, without limitation, the following uses: (Section 2, WSA)
(a) drinking water, food preparation and sanitation;
(b) fire prevention;
(c) providing water to animals or poultry kept
(i) for household use, or
(ii) as pets;
(d) irrigation of a garden not exceeding 1 000 m2 that is adjoining and occupied with a dwelling, [note that a ‘garden’ includes a lawn]","Coefficients for 'Domestic' (Ecofish, 2015). Water use likely to double in summer due to irrigation use (irrigation typically occurs May-September, with highest use in June-Aug). Summer use is on average twice winter use. Could potentially use coefficients of 0.5 in the winter.",
02I30,Non-consumptive,Ice & Snow Making: Snow,M3/Y,3,1.5,0.5,0,0,0,0,0,0,0,3,4,12,"[0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25]",Ice and snow making – The diversion and use of water for the commercial production of ice or for making snow or ice for a recreation facility or area.,"Most significant use is before Christmas (Arthur DeJong, Whistler Blackcomb). Diversion begins at some point in November, based on weather and is highest in December, in preparation for holiday visitation. Use continues (based on season), through Jan, Feb, with some use in Mar based on weather conditions.",
02I29,Consumptive,Processing & Mfg: Shipyard,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for the operation of a sawmill, shipyard, factory or other manufacturing facility or for the operation of a wharf, and includes the use of water in a gravel washing plant or the use in an industrial context of water to prevent a fire.","No current licenses. Used coefficients for 'Processing' (Ecofish, 2015). ",
05H,Consumptive,O & G: Drilling,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Water is used for drilling activities related to oil and natural gas development or production.,"Varies with market conditions and specific license conditions (e.g. EFN requirements). Use is fully consumptive (Suzan Lapp, BC Oil and Gas Commission).",
02I21,Consumptive,Camps & Pub Facil: Institutions,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for the operation of a church, community hall, school, hospital or other public institution.","Coefficients for 'Camps' (Ecofish, 2015). Monthly use will vary by user. Some users may use more water in the summer (e.g., due to irrigation), whereas others may use more in the winter (e.g. schools with winter attendance). For schools, May, June, and to a lesser extent, September, are likely to have higher use due to high indoor use and irrigation combined (e.g. 25% higher) (source: water license holder for this purpose).",
02I12,Consumptive,Misc Indl: Fire Protection,"M3/S, M3/D, M3/Y, TF, Select",1,1,1,1,1,1,1,1,1,1,1,1,12,"[0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333]",The diversion and use of water for a standby system for fire protection.,"Coefficients for 'Fire Protection' (Ecofish, 2015). Most of the water is used for structure fires and motor vehicle accidents (MVAs) and those can happen anytime of year. Assume water use is consistent throughout the year, as structure fires and MVAs may be more likely to occur in the winter, and wildfire is more likely to occur in the summer (Cody, Cariboo Regional District). ",
02I12,Consumptive,Misc Indl: Fire Protection,M3/Y,1,1,1,1,1,1,1,1,1,1,1,1,12,,,"Coefficients for 'Fire Protection [MY]' (Ecofish, 2015). ",
02I39,Consumptive,Vehicle & Eqpt: Mine & Quarry,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to wash trucks, other vehicles or equipment, operate equipment to explore for, take samples or quarry rock, or to cool the brakes on logging trucks or other vehicles.","Water more likely to be used more in spring through fall than winter, but may vary (Jeremy Roscoe).",
02I33,Consumptive,Vehicle & Eqpt: Truck & Eqp Wash,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to wash trucks, other vehicles or equipment, operate equipment to explore for, take samples or quarry rock, or to cool the brakes on logging trucks or other vehicles.","Coefficients for 'Truckwashing' (Ecofish, 2015). ",
02I37,Consumptive,Camps & Pub Facil: Work Camps,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water for the operation of residential camps for workers.,"Coefficients for 'Work Camps' (Ecofish, 2015). Water use likely to be higher in summer for some camps due to higher populations in summer, but this is not the case for all camps. ",
02HU,Consumptive,Marine Export - Used (Inactive),M3/Y,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",,No current licenses,
02I24,Non-consumptive,Misc Indl: Overburden Disposal,TF,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The use of a streambed for overburden disposal.,"Typically used when a gully is filled and is likely to be more an approach to land and watercourse protection/management, than a diversion (Barry Watson). Likely relatively consistent 'use'.",
07C,Non-consumptive,Power: General,"M3/S, M3/Y",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","a) The use of the capacity and energy generated from one or more power developments owned by a public utility regulated by the British Columbia Utilities Commission under Part 3 of the Utilities Commission Act,
(b) the use of the capacity and energy generated from one or more power developments of an amount of capacity and energy in excess of the amount necessary to supply the licensee’s commercial category requirements, or
(c) the use of the capacity and energy generated from a power development, which use is not residential or commercial;","Coefficients for 'Power-General' (Ecofish, 2015). ",
02I43,Consumptive,Transport Mgmt: Tunnelling/Well Drilling,DNE,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for water well drilling and for construction and maintenance of a transportation or utility corridors, including for
2 “game farm” has the same meaning as in the Game Farm Regulation [Animal Health Act] [Section 1, Water Sustainability Regulation]
3 “fur farming” has the same meaning as in the Fur Farm Regulation [Animal Health Act] [Section 1, Water Sustainability Regulation]
Water Use Purpose Definitions and Categories (Date of last revision to document, June 22nd 2016) Page 4
? dust control, soil compaction;
? bridge washing;
? tunnelling, but not for mining;
? pressure testing or cleaning a pipeline;
? hydroseeding; or
? pesticide or fertilizer application, other than through an irrigation system.",No current licenses,
02I11,Consumptive,Processing & Mfg: Fire Prevention,M3/S,1,1,1,1,1,1,1,1,1,1,1,1,12,"[0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333]",The diversion and use of water in an industrial context of water to prevent a fire.,"Coefficients for 'Processing' (Ecofish, 2015). It is likely that the majority of the use (e.g. 80%) would be through summer and fall (e.g, spraying vegetation to reduce fire risk), but it is likely to vary by application (Barry Watson).",
02I23,Consumptive,O & G: Oil Fld Inject. (non-deep GW),M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Water that is not deep groundwater is pumped into the subsurface to assist in the recovery of oil or natural gas. [Note, ‘other than deep groundwater’ includes groundwater that is not ‘deep groundwater’ as well as stream water.]",,
02C,Consumptive,Cooling,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for cooling purposes in any manufacturing, processing or industrial operation.","Coefficients for 'Processing' and 'Industrial' (Ecofish, 2015). Water use likely consistent due to challenges of shutting down and starting up processing operations.",
02F,Consumptive,"Lwn, Fairway & Grdn: Watering",M3/Y,0,0,0,0,1.2,3,3.6,3,1.2,0,0,0,12,"[0,0,0,0.1,0.2,0.2,0.2,0.2,0.1,0,0,0]","The diversion and use of water for watering a golf course, sports field, park or similar property, as well as watering a commercial lawn, an ornamental garden that is not adjoining and occupied with a dwelling and the portion of an ornamental garden that is adjoining and occupied with a dwelling which garden is larger than 1 000m2.",Coefficients for Irrigation. Some relatively small volumes may be used in April and October in some locations for some licenses.,
01A,Consumptive,Domestic,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","""domestic purpose"" means the use of water for household purposes by the occupants of, subject to the regulations, one or more private dwellings, other than multi-family apartment buildings, including, without limitation, hotels and strata titled or cooperative buildings, located on a single parcel, including, without limitation, the following uses: (Section 2, WSA)
(a) drinking water, food preparation and sanitation;
(b) fire prevention;
(c) providing water to animals or poultry kept
(i) for household use, or
(ii) as pets;
(d) irrigation of a garden not exceeding 1 000 m2 that is adjoining and occupied with a dwelling, [note that a ‘garden’ includes a lawn]","Coefficients for 'Domestic' (Ecofish, 2015). Note: water use likely to double in summer due to irrigation use (irrigation typically occurs May-September, with highest use in June-Aug)r. Because use is up to half of max demand in the winter, coefficients could potentially be 0.5 in the winter in some cases.",
02I07,Consumptive,Indl Waste Mgmt: Effluent,M3/Y,0.95,0.95,0.95,0.95,1.05,1.07,1.08,1.08,1.07,0.95,0.95,0.95,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for diluting or treating effluent and sewage, for the operation of a landfill or industrial composting facility or for the washing and cleaning of water intake screens. [Note, see ‘Crop harvesting and processing’ above, for water use related to agriculture vegetative waste composting operations.]","Coefficients for 'Industrial' (Ecofish, 2015). Water use likely to be consistent througout the year with some increase in summer due to additional maintenance activities and potentially dilution requirements.",
02I26,Non-consumptive,River Improvement,TF,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The clearing or excavation of the stream channel, including for river improvement;","Generally, the intent is to take water from a stream and place in another location. All existing licenses have units of TF (non-consumptive). In some cases, water may be returned to the same stream and it may be non-consumptive (Barry Watson). ",
02I41,Consumptive,Livestock & Animal: Kennel,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water to provide drinking water and sanitation requirements in the operation or maintenance of a kennel.,"Coefficients for 'Stockwatering' (Ecofish, 2015). ",
WSA04,Consumptive,"Crop Harvest, Protect & Compost",M3/Y,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to clean or wash crops, to prevent crops from reaching maturity or to delay maturation of crops, to protect crops or seedlings from frost, to harvest crops, such as cranberries or wild rice, by flooding or in agricultural vegetative waste composting operations. [Note, see ‘Waste management’ below for water use in an industrial composting facility.]","This category contains several uses that happen at very different times and have very different returns flows. Given the variability within this category, water use is distributed equally through the months with the greatest likelihood of use (Feb-Nov). In areas that are under stress or places where there are large licenses for this purpose, further investigation is required.",
09B,Consumptive,Mineralized Water: Comm. Pool,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The use in commercial bathing pools of water that is
(i) impregnated with mineral salts, elements or gases, or
(ii) naturally at a temperature suitable for that use;
? Commercial bathing pools – Mineralized water is used in commercial bathing pools.","Use likely variable, Given that units in M3/day, assume consistent use. ",
02I16,Consumptive,Indl Waste Mgmt: Garbage Dump,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for diluting or treating effluent and sewage, for the operation of a landfill or industrial composting facility or for the washing and cleaning of water intake screens. [Note, see ‘Crop harvesting and processing’ above, for water use related to agriculture vegetative waste composting operations.]","Coefficients for 'Industrial' and 'Sewage Disposal' (Ecofish, 2015).",
02I35,Consumptive,Waterworks: Water Delivery,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Water is transported to customers by tanker truck, in bottles or similar containers.","Coefficients for 'Bottle Sales' (Ecofish, 2015).",
12A,Non-consumptive,Stream Storage: Power,M3/Y,1,1,1,1,1,1,1,1,1,1,1,1,12,"[0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333]",Water from a stream is stored so that it can be used for power production.,"Coefficients for 'Storage-Power' (Ecofish, 2015). ",
05B,Consumptive,Mining: Washing Coal,"M3/D, M3/S",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Water is used in the operation and/or maintenance of coal washing operations.,Significant volumes of water used without any particularly seasonality to use. Water goes into a tailing pond with a long retention time. Assume fully consumptive (Jeremy Roscoe).,
02A,Consumptive,Pulp Mill,"M3/D, M3/S",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",The diversion and use of water in the production of pulp and paper products or in the operation and maintenance of a pulp mill.,"Coefficients for 'Pulp Mills' (Ecofish, 2015). ",
02I01,Consumptive,Vehicle & Eqpt: Brake Cooling,"M3/D, M3/S",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to wash trucks, other vehicles or equipment, operate equipment to explore for, take samples or quarry rock, or to cool the brakes on logging trucks or other vehicles.","Use uncommon and likely greater in summer and fully consumptive, as water evaporates (Jeremy Roscoe, Barry Watson).",
02I,Consumptive,Industrial - Misc (Inactive),DNE,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",,"No current licenses. Used coefficients for 'Industrial' and 'Processing' (Ecofish, 2015). ",
02E,Consumptive,Pond & Aquaculture,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for floating logs, fur farming3, fish farming or keeping fish for recreational purposes, but does not include a fish hatchery.","Water use for this type of use typically does not vary from month to month (Gary Robinson, Kuterra [license holder for purpose])",
02I15,Consumptive,Livestock & Animal: Game Farm,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water to provide drinking water and sanitation requirements in the operation or maintenance of a kennel, an animal shelter or boarding facility, a ranch or feedlot operation, or a game farm2, dairy farm, pig farm or poultry farm, or similar enterprise for rearing livestock.","Coefficients for 'Stockwatering' (Ecofish, 2015). ",
00B,Consumptive,Waterworks (other than LP),M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Water is conveyed by someone other than a local provider for waterworks purpose, but does not include water delivery.","Coefficients for 'Waterworks (Other) [M3/D]' (Ecofish, 2015).",
00B,Consumptive,Waterworks (other than LP),M3/Y,0.8,0.8,0.8,0.8,1,1.2,1.6,1.6,1,0.8,0.8,0.8,12,,"Water is conveyed by someone other than a local provider for waterworks purpose, but does not include water delivery.","Same as Waterworks: Local Provider. Water use typically doubles in peak summer months due to increased use for irrigation, washing and bathing, tourism, etc.",
02G,Consumptive,Fresh Water Bottling,"M3/D, M3/Y",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for the bottling, for commercial distribution, of fresh water, including the bottling of carbonated water and water fortified with vitamins, but not including mineralized water or fermented or other processed beverages.","Coefficients for 'Bottle Sales' (Ecofish, 2015).",
11C,Non-consumptive,Conservation: Construct Works,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","""conservation purpose"" means the diversion, retention or use of water for the purpose of conserving fish or wildlife and includes the construction of works for that purpose (Section 2, WSA)
Sub purposes
? Conservation – construct works – associated with conservation purpose - Works are constructed for conserving fish or wildlife.
? Conservation – stored water – Water is stored for conserving fish or wildlife.
? Conservation – use of water – Water is used for conserving fish or wildlife.","Coefficients for 'Conserv.-Use of Water' (Ecofish, 2015).",
11B,Non-consumptive,Conservation: Use of Water,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","""conservation purpose"" means the diversion, retention or use of water for the purpose of conserving fish or wildlife and includes the construction of works for that purpose (Section 2, WSA)
Sub purposes
? Conservation – construct works – associated with conservation purpose - Works are constructed for conserving fish or wildlife.
? Conservation – stored water – Water is stored for conserving fish or wildlife.
? Conservation – use of water – Water is used for conserving fish or wildlife.","Coefficients for 'Conserv.-Use of Water' (Ecofish, 2015).",
05C,Consumptive,Mining: Processing Ore,"M3/D, M3/S",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Mining Purpose – ""mining purpose"" means (Section 2, WSA)
(a) the use of water, including the use of water under pressure, for recovering minerals from the ground or from ore, or
(b) the use of water under pressure to move earth, sand, gravel or rock;","Coefficients for 'Processing' (Ecofish, 2015). Water use consistent through out year (Jeremy Roscoe). The water use would be entirely dependent on how much they were processing, which may change seasonally but shouldn't. Processing plants are expensive so they generally run at full capacity all the time. Mostly consumptive.",
WSA13,Consumptive,Industrial Waste Mgmt,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for diluting or treating effluent and sewage, for the operation of a landfill or industrial composting facility or for the washing and cleaning of water intake screens.","Coefficients for 'Industrial' and 'Sewage Disposal' (Ecofish, 2015).",
02H,Consumptive,Bulk Shipment for Marine Trans,DNE,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",,No current licenses. ,
02I28,Consumptive,Indl Waste Mgmt: Sewage Disposal,,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","The diversion and use of water for diluting or treating effluent and sewage, for the operation of a landfill or industrial composting facility or for the washing and cleaning of water intake screens.","Coefficients for 'Sewage Disposal' (Ecofish, 2015). Typically small volumes of water that are used fairly consistently thoughout the year (staff at City of Vernon, District of Squamish [license holders for this purpose]). ",
05D,Consumptive,Mining: Placer,M3/s,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]",Water is used in the operation and/or maintenance of placer mining operations.,"While there are several water licenses for the whole year, water diversion for this purpose only occurs in summer months (from April-end of October or less) (Jeremy Roscoe).  Typically water is taken out of a stream, sprayed on rock nearby, then sent to a settling pond, where sediment settles out, then water infiltrates through the gravel back into the watershed or stream indirectly. Operations typically occur May til end the end of October (Barry Watson, Jeremy Roscoe). Most license periods vary from 6/7 months to a year. ",
WSA07,Consumptive,Misc Indust,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","o The diversion of water to dewater a construction site, mine or similar excavation;
o The diversion and use of water for a standby system for fire protection;
o The use of a streambed for overburden disposal;
o The diversion and use of water for driving, booming and storing logs or other timber products; [Note, see ‘Pond and aquaculture’ for water use related to floating logs.]
o The clearing or excavation of the stream channel, including for river improvement;
o The impoundment of water in a settling pond for sediment control.","Coefficients for 'Industrial' (Ecofish, 2015).",
WSA07,Consumptive,Misc Indust,"M3/S, M3/D, M3/Y, TF ",1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","o The diversion of water to dewater a construction site, mine or similar excavation;
o The diversion and use of water for a standby system for fire protection;
o The use of a streambed for overburden disposal;
o The diversion and use of water for driving, booming and storing logs or other timber products; [Note, see ‘Pond and aquaculture’ for water use related to floating logs.]
o The clearing or excavation of the stream channel, including for river improvement;
o The impoundment of water in a settling pond for sediment control.","Coefficients for 'Industrial' (Ecofish, 2015).",
02I02,Consumptive,Camps & Pub Facil: Non-Work Camps,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Diversion and use of water for the operation of a recreational camp (camp that provides one or more of the following: (a) recreational experiences; (b) educational experiences; (c) rehabilitative or therapeutic experiences for persons with disabilities or chronic or life-threatening illnesses; (d) religious instruction; (e) leadership training. [Section 1, Water Sustainability Regulation])","Coefficients for 'Camps' (Ecofish, 2015). Likely higher use in summer for many users.",
09A,Consumptive,Mineralized Water: Bottling & Dist,M3/D,1,1,1,1,1,1,1,1,1,1,1,1,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","Mineralized water is used for sale in bottles or other containers, but does not include fresh water bottling.","Coefficients for 'Bottle Sales' (Ecofish, 2015).",
08A,Non-consumptive,Stream Storage: Non-Power,M3/Y,1,1,1,1,1,1,1,1,1,1,1,1,12,"[0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333]",Water from a stream is stored so that it can be used for purposes other than power production.,"Coefficients for Storage-Non Power' (Ecofish, 2015).",
